"ASN     ","HB2     ","HC      ","  0.0797","GROUP1 1"
"ASN     ","HB3     ","HC      ","  0.0797","GROUP1 1"
"ASN     ","CG      ","C       ","  0.7130","GROUP1 1"
"ASN     ","OD1     ","O       "," -0.5931","GROUP1 1"
"ASN     ","ND2     ","N       "," -0.9191","GROUP1 1"
"ASN     ","HD21    ","H       ","  0.4196","GROUP1 1"
"ASN     ","HD22    ","H       ","  0.4196","GROUP1 1"
"ASN     ","C       ","C       ","  0.5973","GROUP1 1"
"ASN     ","O       ","O       "," -0.5679","GROUP1 1"
"GLN     ","N       ","N       "," -0.4157","GROUP1 1"
"GLN     ","H       ","H       ","  0.2719","GROUP1 1"
"GLN     ","CA      ","CT      "," -0.0031","GROUP1 1"
"GLN     ","HA      ","H1      ","  0.0850","GROUP1 1"
"GLN     ","CB      ","CT      "," -0.0036","GROUP1 1"
"GLN     ","HB2     ","HC      ","  0.0171","GROUP1 1"
"GLN     ","HB3     ","HC      ","  0.0171","GROUP1 1"
"GLN     ","CG      ","CT      "," -0.0645","GROUP1 1"
"GLN     ","HG2     ","HC      ","  0.0352","GROUP1 1"
"GLN     ","HG3     ","HC      ","  0.0352","GROUP1 1"
"GLN     ","CD      ","C       ","  0.6951","GROUP1 1"
"GLN     ","OE1     ","O       "," -0.6086","GROUP1 1"
"GLN     ","NE2     ","N       "," -0.9407","GROUP1 1"
"GLN     ","HE21    ","H       ","  0.4251","GROUP1 1"
"GLN     ","HE22    ","H       ","  0.4251","GROUP1 1"
"GLN     ","C       ","C       ","  0.5973","GROUP1 1"
"GLN     ","O       ","O       "," -0.5679","GROUP1 1"
"ARG     ","N       ","N       "," -0.3479","GROUP1 1"
"ARG     ","H       ","H       ","  0.2747","GROUP1 1"
"ARG     ","CA      ","CT      "," -0.2637","GROUP1 1"
"ARG     ","HA      ","H1      ","  0.1560","GROUP1 1"
"ARG     ","CB      ","CT      "," -0.0007","GROUP1 1"
"ARG     ","HB2     ","HC      ","  0.0327","GROUP1 1"
"ARG     ","HB3     ","HC      ","  0.0327","GROUP1 1"
"ARG     ","CG      ","CT      ","  0.0390","GROUP1 1"
"ARG     ","HG2     ","HC      ","  0.0285","GROUP1 1"
"ARG     ","HG3     ","HC      ","  0.0285","GROUP1 1"
"ARG     ","CD      ","CT      ","  0.0486","GROUP1 1"
"ARG     ","HD2     ","H1      ","  0.0687","GROUP1 1"
"ARG     ","HD3     ","H1      ","  0.0687","GROUP1 1"
"ARG     ","NE      ","N2      "," -0.5295","GROUP1 1"
"ARG     ","HE      ","H       ","  0.3456","GROUP1 1"
"ARG     ","CZ      ","CA      ","  0.8076","GROUP1 1"
"ARG     ","NH1     ","N2      "," -0.8627","GROUP1 1"
"ARG     ","HH11    ","H       ","  0.4478","GROUP1 1"
"ARG     ","HH12    ","H       ","  0.4478","GROUP1 1"
"ARG     ","NH2     ","N2      "," -0.8627","GROUP1 1"
"ARG     ","HH21    ","H       ","  0.4478","GROUP1 1"
"ARG     ","HH22    ","H       ","  0.4478","GROUP1 1"
"ARG     ","C       ","C       ","  0.7341","GROUP1 1"
"ARG     ","O       ","O       "," -0.5894","GROUP1 1"
"HID     ","N       ","N       "," -0.4157","GROUP1 1"
"HID     ","H       ","H       ","  0.2719","GROUP1 1"
"HID     ","CA      ","CT      ","  0.0188","GROUP1 1"
"HID     ","HA      ","H1      ","  0.0881","GROUP1 1"
"HID     ","CB      ","CT      "," -0.0462","GROUP1 1"
"HID     ","HB2     ","HC      ","  0.0402","GROUP1 1"
"HID     ","HB3     ","HC      ","  0.0402","GROUP1 1"
"HID     ","CG      ","CC      "," -0.0266","GROUP1 1"
"HID     ","ND1     ","NA      "," -0.3811","GROUP1 1"
"HID     ","HD1     ","H       ","  0.3649","GROUP1 1"
"HID     ","CE1     ","CR      ","  0.2057","GROUP1 1"
"HID     ","HE1     ","H5      ","  0.1392","GROUP1 1"
"HID     ","NE2     ","NB      "," -0.5727","GROUP1 1"
"HID     ","CD2     ","CV      ","  0.1292","GROUP1 1"
"HID     ","HD2     ","H4      ","  0.1147","GROUP1 1"
"HID     ","C       ","C       ","  0.5973","GROUP1 1"
"HID     ","O       ","O       "," -0.5679","GROUP1 1"
"HIE     ","N       ","N       "," -0.4157","GROUP1 1"
"HIE     ","H       ","H       ","  0.2719","GROUP1 1"
"HIE     ","CA      ","CT      "," -0.0581","GROUP1 1"
"HIE     ","HA      ","H1      ","  0.1360","GROUP1 1"
"HIE     ","CB      ","CT      "," -0.0074","GROUP1 1"
"HIE     ","HB2     ","HC      ","  0.0367","GROUP1 1"
"HIE     ","HB3     ","HC      ","  0.0367","GROUP1 1"
"HIE     ","CG      ","CC      ","  0.1868","GROUP1 1"
"HIE     ","ND1     ","NB      "," -0.5432","GROUP1 1"
"HIE     ","CE1     ","CR      ","  0.1635","GROUP1 1"
"HIE     ","HE1     ","H5      ","  0.1435","GROUP1 1"
"HIE     ","NE2     ","NA      "," -0.2795","GROUP1 1"
"HIE     ","HE2     ","H       ","  0.3339","GROUP1 1"
"HIE     ","CD2     ","CW      "," -0.2207","GROUP1 1"
"HIE     ","HD2     ","H4      ","  0.1862","GROUP1 1"
"HIE     ","C       ","C       ","  0.5973","GROUP1 1"
"HIE     ","O       ","O       "," -0.5679","GROUP1 1"
"HIP     ","N       ","N       "," -0.3479","GROUP1 1"
"HIP     ","H       ","H       ","  0.2747","GROUP1 1"
"HIP     ","CA      ","CT      "," -0.1354","GROUP1 1"
"HIP     ","HA      ","H1      ","  0.1212","GROUP1 1"
"HIP     ","CB      ","CT      "," -0.0414","GROUP1 1"
"HIP     ","HB2     ","HC      ","  0.0810","GROUP1 1"
"HIP     ","HB3     ","HC      ","  0.0810","GROUP1 1"
"HIP     ","CG      ","CC      "," -0.0012","GROUP1 1"
"HIP     ","ND1     ","NA      "," -0.1513","GROUP1 1"
"HIP     ","HD1     ","H       ","  0.3866","GROUP1 1"
"HIP     ","CE1     ","CR      "," -0.0170","GROUP1 1"
"HIP     ","HE1     ","H5      ","  0.2681","GROUP1 1"
"HIP     ","NE2     ","NA      "," -0.1718","GROUP1 1"
"HIP     ","HE2     ","H       ","  0.3911","GROUP1 1"
"HIP     ","CD2     ","CW      "," -0.1141","GROUP1 1"
"HIP     ","HD2     ","H4      ","  0.2317","GROUP1 1"
"HIP     ","C       ","C       ","  0.7341","GROUP1 1"
"HIP     ","O       ","O       "," -0.5894","GROUP1 1"
"TRP     ","N       ","N       "," -0.4157","GROUP1 1"
"TRP     ","H       ","H       ","  0.2719","GROUP1 1"
"TRP     ","CA      ","CT      "," -0.0275","GROUP1 1"
"TRP     ","HA      ","H1      ","  0.1123","GROUP1 1"
"TRP     ","CB      ","CT      "," -0.0050","GROUP1 1"
"TRP     ","HB2     ","HC      ","  0.0339","GROUP1 1"
"TRP     ","HB3     ","HC      ","  0.0339","GROUP1 1"
"TRP     ","CG      ","C*      "," -0.1415","GROUP1 1"
"TRP     ","CD1     ","CW      "," -0.1638","GROUP1 1"
"TRP     ","HD1     ","H4      ","  0.2062","GROUP1 1"
"TRP     ","NE1     ","NA      "," -0.3418","GROUP1 1"
"TRP     ","HE1     ","H       ","  0.3412","GROUP1 1"
"TRP     ","CE2     ","CN      ","  0.1380","GROUP1 1"
"TRP     ","CZ2     ","CA      "," -0.2601","GROUP1 1"
"TRP     ","HZ2     ","HA      ","  0.1572","GROUP1 1"
"TRP     ","CH2     ","CA      "," -0.1134","GROUP1 1"
"TRP     ","HH2     ","HA      ","  0.1417","GROUP1 1"
"TRP     ","CZ3     ","CA      "," -0.1972","GROUP1 1"
"TRP     ","HZ3     ","HA      ","  0.1447","GROUP1 1"
"TRP     ","CE3     ","CA      "," -0.2387","GROUP1 1"
"TRP     ","HE3     ","HA      ","  0.1700","GROUP1 1"
"TRP     ","CD2     ","CB      ","  0.1243","GROUP1 1"
"TRP     ","C       ","C       ","  0.5973","GROUP1 1"
"TRP     ","O       ","O       "," -0.5679","GROUP1 1"
"PHE     ","N       ","N       "," -0.4157","GROUP1 1"
"PHE     ","H       ","H       ","  0.2719","GROUP1 1"
"PHE     ","CA      ","CT      "," -0.0024","GROUP1 1"
"PHE     ","HA      ","H1      ","  0.0978","GROUP1 1"
"PHE     ","CB      ","CT      "," -0.0343","GROUP1 1"
"PHE     ","HB2     ","HC      ","  0.0295","GROUP1 1"
"PHE     ","HB3     ","HC      ","  0.0295","GROUP1 1"
"PHE     ","CG      ","CA      ","  0.0118","GROUP1 1"
"PHE     ","CD1     ","CA      "," -0.1256","GROUP1 1"
"PHE     ","HD1     ","HA      ","  0.1330","GROUP1 1"
"PHE     ","CE1     ","CA      "," -0.1704","GROUP1 1"
"PHE     ","HE1     ","HA      ","  0.1430","GROUP1 1"
"PHE     ","CZ      ","CA      "," -0.1072","GROUP1 1"
"PHE     ","HZ      ","HA      ","  0.1297","GROUP1 1"
"PHE     ","CE2     ","CA      "," -0.1704","GROUP1 1"
"PHE     ","HE2     ","HA      ","  0.1430","GROUP1 1"
"PHE     ","CD2     ","CA      "," -0.1256","GROUP1 1"
"PHE     ","HD2     ","HA      ","  0.1330","GROUP1 1"
"PHE     ","C       ","C       ","  0.5973","GROUP1 1"
"PHE     ","O       ","O       "," -0.5679","GROUP1 1"
"TYR     ","N       ","N       "," -0.4157","GROUP1 1"
"TYR     ","H       ","H       ","  0.2719","GROUP1 1"
"TYR     ","CA      ","CT      "," -0.0014","GROUP1 1"
"TYR     ","HA      ","H1      ","  0.0876","GROUP1 1"
"TYR     ","CB      ","CT      "," -0.0152","GROUP1 1"
"TYR     ","HB2     ","HC      ","  0.0295","GROUP1 1"
"TYR     ","HB3     ","HC      ","  0.0295","GROUP1 1"
"TYR     ","CG      ","CA      "," -0.0011","GROUP1 1"
"TYR     ","CD1     ","CA      "," -0.1906","GROUP1 1"
"TYR     ","HD1     ","HA      ","  0.1699","GROUP1 1"
"TYR     ","CE1     ","CA      "," -0.2341","GROUP1 1"
"TYR     ","HE1     ","HA      ","  0.1656","GROUP1 1"
"TYR     ","CZ      ","C       ","  0.3226","GROUP1 1"
"TYR     ","OH      ","OH      "," -0.5579","GROUP1 1"
"TYR     ","HH      ","HO      ","  0.3992","GROUP1 1"
"TYR     ","CE2     ","CA      "," -0.2341","GROUP1 1"
"TYR     ","HE2     ","HA      ","  0.1656","GROUP1 1"
"TYR     ","CD2     ","CA      "," -0.1906","GROUP1 1"
"TYR     ","HD2     ","HA      ","  0.1699","GROUP1 1"
"TYR     ","C       ","C       ","  0.5973","GROUP1 1"
"TYR     ","O       ","O       "," -0.5679","GROUP1 1"
"GLU     ","N       ","N       "," -0.5163","GROUP1 1"
"GLU     ","H       ","H       ","  0.2936","GROUP1 1"
"GLU     ","CA      ","CT      ","  0.0397","GROUP1 1"
"GLU     ","HA      ","H1      ","  0.1105","GROUP1 1"
"GLU     ","CB      ","CT      ","  0.0560","GROUP1 1"
"GLU     ","HB2     ","HC      "," -0.0173","GROUP1 1"
"GLU     ","HB3     ","HC      "," -0.0173","GROUP1 1"
"GLU     ","CG      ","CT      ","  0.0136","GROUP1 1"
"GLU     ","HG2     ","HC      "," -0.0425","GROUP1 1"
"GLU     ","HG3     ","HC      "," -0.0425","GROUP1 1"
"GLU     ","CD      ","C       ","  0.8054","GROUP1 1"
"GLU     ","OE1     ","O2      "," -0.8188","GROUP1 1"
"GLU     ","OE2     ","O2      "," -0.8188","GROUP1 1"
"GLU     ","C       ","C       ","  0.5366","GROUP1 1"
"GLU     ","O       ","O       "," -0.5819","GROUP1 1"
"ASP     ","N       ","N       "," -0.5163","GROUP1 1"
"ASP     ","H       ","H       ","  0.2936","GROUP1 1"
"ASP     ","CA      ","CT      ","  0.0381","GROUP1 1"
"ASP     ","HA      ","H1      ","  0.0880","GROUP1 1"
"ASP     ","CB      ","CT      "," -0.0303","GROUP1 1"
"ASP     ","HB2     ","HC      "," -0.0122","GROUP1 1"
"ASP     ","HB3     ","HC      "," -0.0122","GROUP1 1"
"ASP     ","CG      ","C       ","  0.7994","GROUP1 1"
"ASP     ","OD1     ","O2      "," -0.8014","GROUP1 1"
"ASP     ","OD2     ","O2      "," -0.8014","GROUP1 1"
"ASP     ","C       ","C       ","  0.5366","GROUP1 1"
"ASP     ","O       ","O       "," -0.5819","GROUP1 1"
"LYS     ","N       ","N       "," -0.3479","GROUP1 1"
"LYS     ","H       ","H       ","  0.2747","GROUP1 1"
"LYS     ","CA      ","CT      "," -0.2400","GROUP1 1"
"LYS     ","HA      ","H1      ","  0.1426","GROUP1 1"
"LYS     ","CB      ","CT      "," -0.0094","GROUP1 1"
"LYS     ","HB2     ","HC      ","  0.0362","GROUP1 1"
"LYS     ","HB3     ","HC      ","  0.0362","GROUP1 1"
"LYS     ","CG      ","CT      ","  0.0187","GROUP1 1"
"LYS     ","HG2     ","HC      ","  0.0103","GROUP1 1"
"LYS     ","HG3     ","HC      ","  0.0103","GROUP1 1"
"LYS     ","CD      ","CT      "," -0.0479","GROUP1 1"
"LYS     ","HD2     ","HC      ","  0.0621","GROUP1 1"
"LYS     ","HD3     ","HC      ","  0.0621","GROUP1 1"
"LYS     ","CE      ","CT      "," -0.0143","GROUP1 1"
"LYS     ","HE2     ","HP      ","  0.1135","GROUP1 1"
"LYS     ","HE3     ","HP      ","  0.1135","GROUP1 1"
"LYS     ","NZ      ","N3      "," -0.3854","GROUP1 1"
"LYS     ","HZ1     ","H       ","  0.3400","GROUP1 1"
"LYS     ","HZ2     ","H       ","  0.3400","GROUP1 1"
"LYS     ","HZ3     ","H       ","  0.3400","GROUP1 1"
"LYS     ","C       ","C       ","  0.7341","GROUP1 1"
"LYS     ","O       ","O       "," -0.5894","GROUP1 1"
"PRO     ","N       ","N       "," -0.2548","GROUP1 1"
"PRO     ","CD      ","CT      ","  0.0192","GROUP1 1"
"PRO     ","HD2     ","H1      ","  0.0391","GROUP1 1"
"PRO     ","HD3     ","H1      ","  0.0391","GROUP1 1"
"PRO     ","CG      ","CT      ","  0.0189","GROUP1 1"
"PRO     ","HG2     ","HC      ","  0.0213","GROUP1 1"
"PRO     ","HG3     ","HC      ","  0.0213","GROUP1 1"
"PRO     ","CB      ","CT      "," -0.0070","GROUP1 1"
"PRO     ","HB2     ","HC      ","  0.0253","GROUP1 1"
"PRO     ","HB3     ","HC      ","  0.0253","GROUP1 1"
"PRO     ","CA      ","CT      "," -0.0266","GROUP1 1"
"PRO     ","HA      ","H1      ","  0.0641","GROUP1 1"
"PRO     ","C       ","C       ","  0.5896","GROUP1 1"
"PRO     ","O       ","O       "," -0.5748","GROUP1 1"
"CYS     ","N       ","N       "," -0.4157","GROUP1 1"
"CYS     ","H       ","H       ","  0.2719","GROUP1 1"
"CYS     ","CA      ","CT      ","  0.0213","GROUP1 1"
"CYS     ","HA      ","H1      ","  0.1124","GROUP1 1"
"CYS     ","CB      ","CT      "," -0.1231","GROUP1 1"
"CYS     ","HB2     ","H1      ","  0.1112","GROUP1 1"
"CYS     ","HB3     ","H1      ","  0.1112","GROUP1 1"
"CYS     ","SG      ","SH      "," -0.3119","GROUP1 1"
"CYS     ","HG      ","HS      ","  0.1933","GROUP1 1"
"CYS     ","C       ","C       ","  0.5973","GROUP1 1"
"CYS     ","O       ","O       "," -0.5679","GROUP1 1"
"CYM     ","N       ","N       "," -0.4630","GROUP1 1"
"CYM     ","HN      ","H       ","  0.2520","GROUP1 1"
"CYM     ","CA      ","CT      ","  0.0350","GROUP1 1"
"CYM     ","HA      ","H1      ","  0.0480","GROUP1 1"
"CYM     ","CB      ","CT      "," -0.7360","GROUP1 1"
"CYM     ","HB1     ","H1      ","  0.2440","GROUP1 1"
"CYM     ","HB2     ","H1      ","  0.2440","GROUP1 1"
"CYM     ","SG      ","SH      "," -0.7360","GROUP1 1"
"CYM     ","C       ","C       ","  0.6160","GROUP1 1"
"CYM     ","O       ","O       "," -0.5040","GROUP1 1"
"CYX     ","N       ","N       "," -0.4157","GROUP1 1"
"CYX     ","H       ","H       ","  0.2719","GROUP1 1"
"CYX     ","CA      ","CT      ","  0.0429","GROUP1 1"
"CYX     ","HA      ","H1      ","  0.0766","GROUP1 1"
"CYX     ","CB      ","CT      "," -0.0790","GROUP1 1"
"CYX     ","HB2     ","H1      ","  0.0910","GROUP1 1"
"CYX     ","HB3     ","H1      ","  0.0910","GROUP1 1"
"CYX     ","SG      ","S       "," -0.1081","GROUP1 1"
"CYX     ","C       ","C       ","  0.5973","GROUP1 1"
"CYX     ","O       ","O       "," -0.5679","GROUP1 1"
"MET     ","N       ","N       "," -0.4157","GROUP1 1"
"MET     ","H       ","H       ","  0.2719","GROUP1 1"
"MET     ","CA      ","CT      "," -0.0237","GROUP1 1"
"MET     ","HA      ","H1      ","  0.0880","GROUP1 1"
"MET     ","CB      ","CT      ","  0.0342","GROUP1 1"
"MET     ","HB2     ","HC      ","  0.0241","GROUP1 1"
"MET     ","HB3     ","HC      ","  0.0241","GROUP1 1"
"MET     ","CG      ","CT      ","  0.0018","GROUP1 1"
"MET     ","HG2     ","H1      ","  0.0440","GROUP1 1"
"MET     ","HG3     ","H1      ","  0.0440","GROUP1 1"
"MET     ","SD      ","S       "," -0.2737","GROUP1 1"
"MET     ","CE      ","CT      "," -0.0536","GROUP1 1"
"MET     ","HE1     ","H1      ","  0.0684","GROUP1 1"
"MET     ","HE2     ","H1      ","  0.0684","GROUP1 1"
"MET     ","HE3     ","H1      ","  0.0684","GROUP1 1"
"MET     ","C       ","C       ","  0.5973","GROUP1 1"
"MET     ","O       ","O       "," -0.5679","GROUP1 1"
"ACE     ","HH31    ","HC      ","  0.1123","GROUP1 1"
"ACE     ","CH3     ","CT      "," -0.3662","GROUP1 1"
"ACE     ","HH32    ","HC      ","  0.1123","GROUP1 1"
"ACE     ","HH33    ","HC      ","  0.1123","GROUP1 1"
"ACE     ","C       ","C       ","  0.5972","GROUP1 1"
"ACE     ","O       ","O       "," -0.5679","GROUP1 1"
"NME     ","N       ","N       "," -0.4157","GROUP1 1"
"NME     ","H       ","H       ","  0.2719","GROUP1 1"
"NME     ","CH3     ","CT      "," -0.1490","GROUP1 1"
"NME     ","HH31    ","1       ","  0.0976","GROUP1 1"
"NME     ","HH32    ","1       ","  0.0976","GROUP1 1"
"NME     ","HH33    ","1       ","  0.0976","GROUP1 1"
"HOH     ","H1      ","HW      ","  0.4170","GROUP1 1"
"HOH     ","O       ","OW      "," -0.8340","GROUP1 1"
"HOH     ","H2      ","HW      ","  0.4170","GROUP1 1"
"ASH     ","N       ","N       "," -0.4157","GROUP1 1"
"ASH     ","H       ","H       ","  0.2719","GROUP1 1"
"ASH     ","CA      ","CT      ","  0.0341","GROUP1 1"
"ASH     ","HA      ","H1      ","  0.0864","GROUP1 1"
"ASH     ","CB      ","CT      "," -0.0316","GROUP1 1"
"ASH     ","HB2     ","HC      ","  0.0488","GROUP1 1"
"ASH     ","HB3     ","HC      ","  0.0488","GROUP1 1"
"ASH     ","CG      ","C       ","  0.6462","GROUP1 1"
"ASH     ","OD1     ","O       "," -0.5554","GROUP1 1"
"ASH     ","OD2     ","OH      "," -0.6376","GROUP1 1"
"ASH     ","HD2     ","HO      ","  0.4747","GROUP1 1"
